,date_x,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,ticker,Sector,reportedEPS,estimatedEPS,surprise,surprisePercentage,inflation,cs_sentiment,close,q_roi
0,2021-12-31,USD,1342000000.0,164000000.0,0,-50000000.0,-610000000.0,42000000.0,85000000.0,0.0,0.0,663000000.0,-5643000000.0,4082000000.0,0.0,316000000.0,316000000.0,0,243000000.0,243000000.0,0,0.0,506000000.0,0,-310000000.0,0,-219000000.0,0.0,663000000.0,FITB,Finance,0.9,0.9,0.0,0.0,4.9,67.2,471.93,0.11071100755489671
1,2021-09-30,USD,1239000000.0,362000000.0,0,-42000000.0,-540000000.0,43000000.0,98000000.0,0.0,0.0,704000000.0,-2713000000.0,1402000000.0,0.0,550000000.0,550000000.0,0,210000000.0,210000000.0,0,0.0,12000000.0,0,-550000000.0,0,735000000.0,0.0,704000000.0,FITB,Finance,0.94,0.8993,0.0407,4.5257,4.8,71.7,424.89,0.03518089901327803
2,2021-06-30,USD,489000000.0,224000000.0,0,159000000.0,349000000.0,41000000.0,66000000.0,0.0,0.0,709000000.0,2710000000.0,-3036000000.0,0.0,347000000.0,347000000.0,0,229000000.0,229000000.0,0,0.0,19000000.0,0,-347000000.0,0,740000000.0,0.0,709000000.0,FITB,Finance,0.9776,0.8109,0.1667,20.5574,4.7,81.2,410.45,0.16317624054184265
3,2021-03-31,USD,-366000000.0,414000000.0,0,-284000000.0,507000000.0,44000000.0,60000000.0,0.0,0.0,694000000.0,-2322000000.0,2663000000.0,0.0,180000000.0,180000000.0,0,215000000.0,215000000.0,0,0.0,25000000.0,0,-180000000.0,0,-25000000.0,0.0,694000000.0,FITB,Finance,0.9455,0.6969,0.2486,35.6723,3.4,88.3,352.87,0.07343412526997839
4,2020-12-31,USD,-1644000000.0,174000000.0,0,180000000.0,2475000000.0,138000000.0,70000000.0,0.0,0.0,604000000.0,-309000000.0,2104000000.0,0.0,0.0,0.0,0,229000000.0,229000000.0,0,0.0,28000000.0,0,5000000.0,0,151000000.0,0.0,604000000.0,FITB,Finance,0.88,0.6763,0.2037,30.1198,3.0,79.0,328.73,-0.08838047698280649
5,2020-09-30,USD,63000000.0,392000000.0,0,282000000.0,721000000.0,13000000.0,102000000.0,0.0,0.0,581000000.0,1098000000.0,-1386000000.0,0.0,0.0,0.0,0,212000000.0,212000000.0,0,0.0,18000000.0,0,0.0,0,581000000.0,0.0,581000000.0,FITB,Finance,0.85,0.5855,0.2645,45.1751,2.6,81.8,360.6,0.09445186354255197
6,2020-06-30,USD,1519000000.0,463000000.0,0,205000000.0,-480000000.0,13000000.0,59000000.0,0.0,0.0,195000000.0,-18510000000.0,16930000000.0,-4701000000.0,0.0,0.0,0,227000000.0,194000000.0,33000000,0.0,1251000000.0,0,0.0,0,195000000.0,0.0,195000000.0,FITB,Finance,0.3,0.2397,0.0603,25.1564,3.0,72.5,329.48,0.3445419302183228
7,2020-03-31,USD,433000000.0,381000000.0,0,-318000000.0,413000000.0,47000000.0,74000000.0,0.0,0.0,46000000.0,-14181000000.0,13752000000.0,4896000000.0,0.0,0.0,0,190000000.0,173000000.0,17000000,0.0,1260000000.0,0,0.0,0,4000000.0,0.0,46000000.0,FITB,Finance,0.68,0.4708,0.2092,44.435,2.1,71.8,245.05,-0.1025453213697125
8,2019-12-31,USD,1379000000.0,477000000.0,0,266000000.0,-586000000.0,269000000.0,38000000.0,0.0,0.0,734000000.0,530000000.0,-1892000000.0,-4700000000.0,300000000.0,300000000.0,0,207000000.0,174000000.0,33000000,0.0,763000000.0,0,-300000000.0,0,17000000.0,0.0,734000000.0,FITB,Finance,0.68,0.7259,-0.0459,-6.3232,2.5,99.8,273.05,0.1145807821046616
9,2019-09-30,USD,-363000000.0,662000000.0,0,14000000.0,1286000000.0,14000000.0,74000000.0,0.0,0.0,549000000.0,-1159000000.0,2019000000.0,3089000000.0,350000000.0,350000000.0,0,220000000.0,178000000.0,42000000,0.0,10000000.0,0,-108000000.0,0,497000000.0,0.0,549000000.0,FITB,Finance,0.75,0.7336,0.0164,2.2356,2.5,95.5,244.98,0.07546424338206248
